year,sex,country,state,time,activity,type,deadly_attack
2015,Female,USA,Florida,Night,Attempting to rescue a shark,Unprovoked,N
2015,Male,REUNION ISLAND,Le Port,Afternoon,Surf,Unprovoked,N
2015,Female,USA,Florida,Afternoon,Standing,Unprovoked,N
2015,Female,USA,Florida,Afternoon,Wading,Unprovoked,N
2015,Male,FRENCH POLYNESIA,Rangiroa,Morning,Fishing,Unprovoked,N
2015,Female,USA,Florida,Night,Swimming,Unprovoked,N
2015,Male,USA,Florida,Morning,Surf,Unprovoked,N
2015,Male,USA,South Carolina,Afternoon,Unknown,Unprovoked,N
2015,Male,NEW CALEDONIA,Unknown,Night,Snorkeling,Unprovoked,Y
2015,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2015,Male,AUSTRALIA,New South Wales,Afternoon,Surf,Unprovoked,N
2015,Male,SOUTH AFRICA,Eastern Cape Province,Afternoon,Diving,Unprovoked,N
2015,Female,USA,Hawaii,Morning,Snorkeling,Unprovoked,Y
2015,Male,USA,Florida,Evening,Wading,Unprovoked,N
2015,Male,AUSTRALIA,South Australia,Morning,Surf,Unprovoked,N
2015,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2015,Male,USA,Florida,Night,Photography and filming,Unprovoked,N
2015,Male,REUNION ISLAND,Saint-Gilles-les-Bains,Morning,Surf,Unprovoked,Y
2015,Male,AUSTRALIA,New South Wales,Morning,Paddle boarding,Unprovoked,N
2015,Male,USA,Florida,Afternoon,Fishing,Unprovoked,N
2015,Male,ITALY,Sardinia,Night,Diving,Unknown,U
2015,Male,BRAZIL,Pernambuco,Morning,Surf,Unknown,U
2015,Male,SOUTH AFRICA,Eastern Cape Province,Night,Fishing,Sea Disaster,N
2015,Male,EGYPT,Red Sea Protectorate,Night,Swimming,Unprovoked,Y
2015,Male,USA,Hawaii,Morning,Standing / Snorkeling,Unprovoked,N
2015,Male,FRENCH POLYNESIA,Bora Bora,Morning,Feeding a shark,Unprovoked,N
2015,Male,AUSTRALIA,New South Wales,Morning,Fishing,Sea Disaster,N
2015,Male,MEXICO,Sinaloa,Morning,Fishing,Provoked,N
2015,Male,FRENCH POLYNESIA,Central Tuamotu,Night,Sitting in the water,Unprovoked,N
2015,Unknown,ATLANTIC OCEAN,Unknown,Night,Transatlantic Rowing,Sea Disaster,N
2015,Female,REUNION ISLAND,d’Étang-Salé,Evening,Swimming,Unprovoked,Y
2015,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,Y
2015,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2015,Male,AUSTRALIA,New South Wales,Night,Surf,Unprovoked,N
2015,Male,AUSTRALIA,Queensland,Morning,Rowing,Sea Disaster,N
2015,Male,USA,Hawaii,Night,Fishing,Provoked,N
2015,Male,AUSTRALIA,New South Wales,Night,Surf,Unprovoked,N
2015,Male,SOUTH AFRICA,Eastern Cape Province,Afternoon,Floating ,Unprovoked,N
2015,Male,USA,Florida,Night,Fishing,Sea Disaster,N
2015,Female,AUSTRALIA,New South Wales,Night,Surf,Unknown,U
2015,Male,AUSTRALIA,New South Wales,Afternoon,Fishing,Sea Disaster,N
2015,Male,AUSTRALIA,New South Wales,Night,Filming,Unprovoked,N
2015,Male,USA,Florida,Night,Swimming,Unknown,U
2015,Female,BAHAMAS,Abaco Islands,Evening,Snorkeling,Unprovoked,N
2015,Male,SOUTH AFRICA,Eastern Cape Province,Morning,Surf,Unprovoked,N
2015,Male,USA,Florida,Afternoon,Unknown,Unprovoked,N
2014,Unknown,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2014,Male,AUSTRALIA,Western Australia,Morning,Fishing,Unprovoked,Y
2014,Unknown,GREECE,Unknown,Night,Unknown,Sea Disaster,N
2014,Unknown,SOUTH AFRICA,KwaZulu-Natal,Morning,Swimming,Unknown,U
2014,Male,USA,California,Morning,Surf,Unprovoked,N
2014,Male,AUSTRALIA,Victoria,Morning,Fishing,Provoked,N
2014,Male,JAPAN,Unknown,Night,Diving,Unprovoked,N
2014,Male,AUSTRALIA,Queensland,Morning,Fishing,Unprovoked,Y
2014,Male,SPAIN,Granada,Morning,Fishing,Provoked,N
2014,Male,AUSTRALIA,Western Australia,Afternoon,Surf,Unprovoked,N
2014,Male,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Night,Fishing,Provoked,Y
2014,Male,AUSTRALIA,Western Australia,Night,Fishing,Sea Disaster,N
2014,Unknown,USA,California,Night,Unknown,Sea Disaster,N
2014,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2014,Male,USA,Hawaii,Afternoon,Snorkeling,Unprovoked,N
2014,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2014,Male,USA,Florida,Evening,Surf,Unprovoked,N
2014,Female,USA,Hawaii,Morning,Surf,Unprovoked,N
2014,Male,AUSTRALIA,New South Wales,Evening,Surf,Provoked,N
2014,Female,USA,Hawaii,Morning,Paddle boarding,Unprovoked,N
2014,Male,USA,Hawaii,Morning,Paddle boarding,Unprovoked,N
2014,Female,USA,California,Night,Canoe,Sea Disaster,N
2014,Female,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2014,Female,USA,South Carolina,Night,Standing in inner tube,Unprovoked,N
2014,Female,USA,Florida,Afternoon,Surf,Unprovoked,N
2014,Male,AUSTRALIA,Western Australia,Evening,Kayaking,Sea Disaster,N
2014,Male,USA,Florida,Morning,Surf,Unprovoked,N
2014,Female,USA,Florida,Afternoon,Fishing,Unprovoked,N
2014,Male,USA,Florida,Morning,Surf,Unprovoked,N
2014,Male,USA,California,Afternoon,Kayaking,Sea Disaster,N
2014,Male,USA,California,Morning,Kayaking ,Sea Disaster,N
2014,Male,USA,California,Evening,Surf,Unprovoked,N
2014,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,N
2014,Male,USA,Florida,Morning,Surf,Unprovoked,N
2014,Female,FRENCH POLYNESIA,Moorea,Night,Fishing,Unprovoked,N
2014,Male,USA,California,Evening,Surf,Unknown,U
2014,Male,AUSTRALIA,New South Wales,Morning,Swimming,Unprovoked,Y
2014,Male,USA,Alabama,Afternoon,Fishing,Unprovoked,N
2014,Female,USA,Massachusetts,Evening,Kayaking ,Sea Disaster,N
2014,Male,USA,Florida,Night,Fishing,Provoked,N
2014,Male,SPAIN,Catalonia,Night,Air Disaster,Unprovoked,N
2014,Female,USA,Florida,Evening,Surf,Unprovoked,N
2014,Male,USA,Florida,Night,Surf,Unprovoked,N
2014,Unknown,USA,Florida,Evening,Unknown,Unknown,U
2014,Male,USA,Maryland,Night,Fishing,Provoked,N
2014,Female,SPAIN,Alicante,Night,Swimming,Unprovoked,N
2014,Male,USA,North Carolina,Night,Surf,Unprovoked,N
2014,Female,USA,South Carolina,Afternoon,Standing,Unprovoked,N
2014,Male,USA,Florida,Night,Fishing,Provoked,N
2014,Unknown,USA,North Carolina,Night,Kite boarding,Unprovoked,N
2014,Male,AUSTRALIA,Western Australia,Night,Fishing,Unprovoked,N
2014,Male,USA,Florida,Morning,Standing,Unprovoked,N
2014,Male,USA,Florida,Night,Unknown,Unprovoked,N
2014,Male,BAHAMAS,Unknown,Night,Fishing,Unprovoked,N
2014,Female,USA,Florida,Afternoon,Swimming,Unprovoked,N
2014,Male,USA,Louisiana,Afternoon,Swimming,Unprovoked,N
2014,Male,USA,South Carolina,Afternoon,Boogie boarding,Unprovoked,N
2014,Female,USA,Florida,Night,Swimming,Unprovoked,N
2014,Male,USA,Florida,Night,Surf,Unprovoked,N
2014,Male,USA,Florida,Afternoon,Boogie boarding,Unprovoked,N
2014,Male,SOUTH AFRICA,Western Cape Province,Afternoon,Surf,Unprovoked,N
2014,Male,Unknown,Unknown,Night,Sea disaster,Unknown,U
2014,Male,USA,North Carolina,Night,Swimming,Unprovoked,N
2014,Male,REUNION ISLAND,Saint-Leu,Afternoon,Surf,Unprovoked,N
2014,Male,USA,Florida,Afternoon,Standing,Unprovoked,N
2014,Unknown,SPAIN,Canary Islands,Night,Wading,Unprovoked,N
2014,Male,USA,Hawaii,Evening,Swimming,Unprovoked,N
2014,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2014,Male,BAHAMAS,West End,Night,Diving,Unknown,U
2014,Male,USA,North Carolina,Night,Surf,Unprovoked,N
2014,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2014,Male,USA,California,Morning,Swimming,Provoked,N
2014,Male,USA,California,Morning,Surf,Unprovoked,N
2014,Male,USA,South Carolina,Evening,Surf,Unprovoked,N
2014,Male,ST. MARTIN,Unknown,Night,Transatlantic Rowing,Sea Disaster,N
2014,Male,BAHAMAS,Abaco Islands,Afternoon,Fishing,Unprovoked,N
2014,Male,AUSTRALIA,South Australia,Evening,Surf,Unprovoked,N
2014,Male,AUSTRALIA,South Australia,Evening,Body boarding,Unprovoked,N
2014,Male,AUSTRALIA,Western Australia,Night,Petting a shark,Provoked,N
2014,Male,BRAZIL,Unknown,Night,Fishing,Unprovoked,N
2014,Male,USA,Delaware,Evening,Standing,Unprovoked,N
2014,Male,AUSTRALIA,South Australia,Morning,Body boarding,Unprovoked,N
2014,Male,JAPAN,Atsumi peninsula,Afternoon,Surf,Unprovoked,N
2014,Female,USA,Texas,Afternoon,Kneeling in the water,Unprovoked,N
2014,Female,USA,Florida,Afternoon,Swimming,Unprovoked,N
2014,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2014,Female,USA,Palmyra Atoll,Night,Tagging sharks,Unprovoked,N
2014,Female,AUSTRALIA,Queensland,Night,Fell into the water ,Unprovoked,N
2014,Male,FRANCE,Wallis and Futuna,Morning,Diving,Unprovoked,N
2014,Male,AUSTRALIA,New South Wales,Night,Teasing a shark,Provoked,N
2014,Female,USA,Florida,Morning,Body boarding,Unprovoked,N
2014,Male,AUSTRALIA,South Australia,Morning,Surf,Unprovoked,N
2014,Female,USA,Florida,Morning,Wading,Unprovoked,N
2014,Male,USA,Georgia,Night,Surf,Unprovoked,N
2014,Male,USA,Florida,Night,Diving,Unknown,U
2014,Female,USA,South Carolina,Afternoon,Swimming,Unprovoked,N
2014,Unknown,SOUTH AFRICA,Western Cape Province,Night,Diving,Unprovoked,N
2014,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2014,Male,AUSTRALIA,Western Australia,Night,Fishing,Unprovoked,N
2014,Unknown,USA,Florida,Afternoon,Swimming,Unprovoked,N
2014,Male,USA,Florida,Morning,Wading,Unprovoked,N
2014,Unknown,SOUTH AFRICA,Unknown,Night,Shark watching,Sea Disaster,N
2014,Male,SOUTH AFRICA,Eastern Cape Province,Morning,Fishing,Provoked,N
2014,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2014,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2014,Female,AUSTRALIA,New South Wales,Morning,Swimming,Unprovoked,Y
2014,Male,AUSTRALIA,Western Australia,Afternoon,Diving,Unknown,U
2014,Male,SOUTH AFRICA,Eastern Cape Province,Afternoon,Swimming,Unprovoked,Y
2014,Male,USA,Florida,Night,Surf,Unprovoked,N
2014,Male,USA,Florida,Night,Surf,Unprovoked,N
2014,Male,NEW CALEDONIA,Baie de Sainte-Marie,Evening,Surf,Unprovoked,N
2014,Male,AUSTRALIA,Victoria,Morning,Surf,Unprovoked,N
2014,Female,AUSTRALIA,New South Wales,Evening,Unknown,Unknown,U
2014,Male,AUSTRALIA,New South Wales,Evening,Swimming,Unprovoked,N
2014,Male,CAYMAN ISLANDS,Unknown,Night,Fishing,Unknown,U
2014,Male,USA,Florida,Night,Surf,Unprovoked,N
2014,Male,FRENCH POLYNESIA,Society Islands,Evening,Surf,Unprovoked,N
2014,Male,PAPUA NEW GUINEA,Unknown,Night,Sailing,Sea Disaster,N
2014,Male,AUSTRALIA,South Australia,Afternoon,Fishing,Unprovoked,Y
2014,Male,TRINIDAD & TOBAGO,Trinidad,Night,Fishing,Provoked,N
2014,Male,NEW ZEALAND,South Island,Night,Surf,Unprovoked,N
2014,Male,AUSTRALIA,New South Wales,Night,Fishing,Provoked,N
2014,Male,NEW ZEALAND,South Island,Night,Fishing,Unprovoked,N
2014,Male,JAPAN,Okinawa Prefecture,Night,Sea disaster,Sea Disaster,N
2014,Male,USA,Hawaii,Night,Diving,Unprovoked,N
2014,Unknown,NEW ZEALAND,Unknown,Night,Filming a documentary,Sea Disaster,N
2013,Male,NEW CALEDONIA,North Province,Morning,Snorkeling,Unprovoked,N
2013,Male,SOUTH AFRICA,Western Cape Province,Morning,Surf,Unprovoked,N
2013,Male,KIRIBATI,740 miles SE of Tarawa Atoll,Night,Fishing,Unprovoked,N
2013,Male,USA,Hawaii,Morning,Boogie boarding,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2013,Male,AUSTRALIA,New South Wales,Evening,Surf,Unprovoked,N
2013,Male,USA,Hawaii,Morning,Fishing,Unprovoked,Y
2013,Male,AUSTRALIA,New South Wales,Afternoon,Body boarding,Unprovoked,Y
2013,Female,USA,Hawaii,Afternoon,Snorkeling,Unprovoked,N
2013,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,Y
2013,Male,USA,Oregon,Morning,Surf,Unprovoked,N
2013,Male,AUSTRALIA,Western Australia,Afternoon,Surf,Unprovoked,N
2013,Male,BAHAMAS,Unknown,Morning,Fishing,Provoked,N
2013,Male,USA,New Jersey,Afternoon,Body boarding,Unprovoked,N
2013,Male,USA,Florida,Night,Surf,Unprovoked,N
2013,Male,USA,Hawaii,Afternoon,Kiteboarding,Unprovoked,N
2013,Female,AUSTRALIA,Western Australia,Afternoon,Snorkeling,Unprovoked,N
2013,Male,REUNION ISLAND,d’Étang-Salé,Evening,Body boarding,Unprovoked,N
2013,Male,AUSTRALIA,Western Australia,Morning,Fishing,Unprovoked,N
2013,Male,AUSTRALIA,New South Wales,Evening,Surf,Unprovoked,N
2013,Male,USA,Hawaii,Afternoon,Diving,Unprovoked,N
2013,Male,USA,Hawaii,Morning,Surf,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Wading,Unprovoked,N
2013,Male,SOUTH AFRICA,Eastern Cape Province,Morning,Swimming,Unprovoked,Y
2013,Male,AUSTRALIA,Western Australia,Morning,Diving,Unprovoked,N
2013,Male,USA,California,Morning,Surf,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Wading,Unprovoked,N
2013,Male,USA,Florida,Morning,Surf,Unprovoked,N
2013,Male,ISRAEL,Southern District,Morning,Diving,Unprovoked,N
2013,Male,USA,Florida,Morning,Standing,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2013,Male,USA,Florida,Morning,Surf,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2013,Female,USA,Florida,Afternoon,Surf,Unprovoked,N
2013,Female,USA,South Carolina,Night,Unknown,Unprovoked,U
2013,Male,USA,Florida,Evening,Surf,Provoked,N
2013,Male,USA,Florida,Evening,Standing,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2013,Male,USA,Florida,Night,Unknown,Provoked,N
2013,Male,BAHAMAS,Unknown,Night,Unknown,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Casting a net,Unprovoked,N
2013,Male,BAHAMAS,Unknown,Night,Fishing,Unprovoked,N
2013,Male,USA,California,Night,Swimming,Unprovoked,N
2013,Female,USA,California,Night,Swimming,Unknown,U
2013,Male,FRANCE,Bay of Biscay,Night,Fishing,Provoked,N
2013,Female,USA,Florida,Evening,Boogie boarding,Unprovoked,N
2013,Male,AUSTRALIA,New South Wales,Afternoon,Wrangling a shark,Unprovoked,N
2013,Male,USA,Hawaii,Afternoon,Surf,Unprovoked,N
2013,Female,USA,California,Afternoon,Surf,Unprovoked,N
2013,Female,USA,Hawaii,Evening,Snorkeling,Unprovoked,Y
2013,Female,USA,Hawaii,Afternoon,Kiteboarding,Unprovoked,N
2013,Male,USA,South Carolina,Evening,Surf,Unprovoked,N
2013,Male,SOUTH AFRICA,Unknown,Night,Attempting to free the shark,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Fishing,Unprovoked,N
2013,Female,USA,Hawaii,Morning,Snorkeling,Unprovoked,N
2013,Male,USA,South Carolina,Night,Swimming,Unprovoked,N
2013,Male,BAHAMAS,Abaco Islands,Evening,Fishing,Unprovoked,N
2013,Female,MEXICO,Quintana Roo,Morning,Wading,Unprovoked,N
2013,Male,USA,Hawaii,Afternoon,Surf,Unprovoked,N
2013,Male,BAHAMAS,Exuma Islands,Evening,Fishing,Unprovoked,N
2013,Male,BAHAMAS,Abaco Islands,Morning,Diving,Unprovoked,N
2013,Female,BRAZIL,Pernambuco,Afternoon,Swimming,Unprovoked,Y
2013,Female,USA,Alabama,Afternoon,Surf,Unprovoked,N
2013,Male,USA,Florida,Night,Swimming,Unprovoked,N
2013,Female,REUNION ISLAND,Saint-Paul,Afternoon,Swimming,Unprovoked,Y
2013,Male,DIEGO GARCIA,Unknown,Night,Swimming,Unprovoked,Y
2013,Female,USA,North Carolina,Afternoon,Wading,Unprovoked,N
2013,Male,SPAIN,Catalonia,Night,Swimming,Unknown,U
2013,Male,AUSTRALIA,Victoria,Night,Surf,Unprovoked,N
2013,Male,TAIWAN,Taitung ,Night,Fishing,Unprovoked,N
2013,Male,JAMAICA,Kingston Parish,Night,Unknown,Unknown,U
2013,Male,USA,California,Afternoon,Fishing,Sea Disaster,N
2013,Male,USA,Florida,Night,Swimming,Unprovoked,N
2013,Male,USA,South Carolina,Afternoon,Swimming,Unprovoked,N
2013,Male,USA,Hawaii,Afternoon,Swimming,Unprovoked,N
2013,Male,USA,Texas,Afternoon,Swimming,Unprovoked,N
2013,Male,SOUTH AFRICA,Eastern Cape Province,Morning,Surf,Unprovoked,N
2013,Female,USA,Florida,Night,Surf,Unprovoked,N
2013,Female,USA,South Carolina,Afternoon,Boogie Boarding,Unprovoked,N
2013,Male,USA,Florida,Night,Fishing,Provoked,N
2013,Male,AUSTRALIA,New South Wales,Evening,Surf,Unprovoked,N
2013,Male,USA,Hawaii,Night,Diving,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2013,Male,BRAZIL,Pernambuco,Night,Unknown,Unprovoked,Y
2013,Male,PALESTINIAN TERRITORIES,Unknown,Evening,Fishing,Provoked,N
2013,Male,ECUADOR,Santa Cruz Island,Afternoon,Surf,Unprovoked,N
2013,Male,USA,California,Night,Surf,Unknown,U
2013,Male,REUNION ISLAND,Saint-Gilles,Morning,Body boarding,Unprovoked,Y
2013,Male,USA,Florida,Morning,Surf,Unprovoked,N
2013,Male,AUSTRALIA,New South Wales,Night,Fishing,Provoked,N
2013,Female,MEXICO,Quintana Roo,Afternoon,Swimming,Unprovoked,N
2013,Male,AUSTRALIA,New South Wales,Afternoon,Fishing,Unprovoked,N
2013,Male,USA,Florida,Morning,Surf,Unprovoked,N
2013,Male,SOUTH AFRICA,Western Cape Province,Night,Diving,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2013,Male,GUAM,Unknown,Night,Unknown,Unprovoked,Y
2013,Male,FRENCH POLYNESIA,Tuamotus,Afternoon,Kite boarding,Unprovoked,N
2013,Male,USA,Florida,Night,Swimming,Unprovoked,N
2013,Male,AUSTRALIA,Western Australia,Night,Unknown,Unknown,U
2013,Male,USA,Hawaii,Morning,Surf,Unprovoked,N
2013,Male,AUSTRALIA,New South Wales,Night,Surf,Unknown,U
2013,Male,SEYCHELLES,Unknown,Night,Diving,Unprovoked,N
2013,Female,BELIZE,Unknown,Night,Snorkeling,Unprovoked,N
2013,Male,BAHAMAS,Eleuthera,Night,Fishing,Unprovoked,N
2013,Male,SOUTH AFRICA,Western Cape Province,Morning,Fishing,Provoked,N
2013,Male,SOUTH AFRICA,Western Cape Province,Night,Surf,Unprovoked,N
2013,Male,JAMAICA,St. Catherine,Morning,Fishing,Unprovoked,Y
2013,Male,AUSTRALIA,Western Australia,Morning,Fishing,Unprovoked,N
2013,Male,PHILIPPINES,Palawan,Night,Swimming,Unprovoked,N
2013,Male,SOUTH AFRICA,Eastern Cape Province,Night,Swimming,Unprovoked,N
2013,Male,NEW ZEALAND,North Island,Afternoon,Swimming,Unprovoked,Y
2013,Unknown,USA,Hawaii,Evening,Surf,Unprovoked,N
2013,Male,USA,Hawaii,Evening,Surf,Unprovoked,N
2013,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2013,Male,FRENCH POLYNESIA,Society Islands,Morning,Diving,Unprovoked,N
2013,Male,JAMAICA,Kingston Parish,Night,Unknown,Unprovoked,N
2013,Male,AUSTRALIA,Victoria,Night,Fishing,Sea Disaster,N
2013,Male,AUSTRALIA,Queensland,Night,Surf,Unprovoked,N
2013,Male,AUSTRALIA,Queensland,Night,Dragging stranded shark into deeper water,Unknown,U
2013,Male,USA,Hawaii,Evening,Surf,Unprovoked,N
2013,Male,NEW ZEALAND,Mercury Islands,Night,Fishing,Unprovoked,N
2013,Male,AUSTRALIA,Western Australia,Morning,Fishing,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2012,Male,AUSTRALIA,New South Wales,Afternoon,Surf,Unprovoked,N
2012,Male,AUSTRALIA,New South Wales,Morning,Paddle boarding,Unprovoked,N
2012,Male,SOUTH AFRICA,Eastern Cape Province,Night,Swimming,Unprovoked,Y
2012,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,N
2012,Male,USA,Hawaii,Afternoon,Surf,Unprovoked,N
2012,Male,AUSTRALIA,New South Wales,Evening,Fishing,Unprovoked,N
2012,Female,NEW ZEALAND,South Island,Night,Diving,Unprovoked,N
2012,Male,USA,Hawaii,Morning,Snorkeling,Unprovoked,N
2012,Male,AUSTRALIA,Queensland,Afternoon,Unknown,Unknown,U
2012,Male,MEXICO,Sinaloa,Morning,Swimming,Unprovoked,Y
2012,Male,USA,Florida,Evening,Surf,Unprovoked,N
2012,Male,USA,Hawaii,Morning,Diving,Unprovoked,N
2012,Male,USA,Hawaii,Morning,Surf,Unprovoked,N
2012,Male,USA,California,Afternoon,Surf,Unprovoked,N
2012,Female,USA,Hawaii,Afternoon,Swimming,Unprovoked,N
2012,Male,USA,California,Morning,Surf,Unprovoked,Y
2012,Female,USA,Florida,Night,Unknown,Unprovoked,N
2012,Male,USA,Florida,Morning,Surf,Unprovoked,N
2012,Male,USA,Hawaii,Morning,Paddle boarding,Unprovoked,N
2012,Male,USA,Florida,Evening,Unknown,Unknown,U
2012,Female,NIGERIA,Delta,Night,Bathing,Unprovoked,N
2012,Male,USA,California,Evening,Surf,Unprovoked,N
2012,Male,AUSTRALIA,Western Australia,Afternoon,Body boarding,Unprovoked,N
2012,Male,USA,Florida,Evening,Surf,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Female,TONGA,Vava'u,Night,Swimming,Unprovoked,N
2012,Unknown,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Florida,Morning,Surf,Unprovoked,N
2012,Male,USA,Florida,Morning,Surf,Unprovoked,N
2012,Female,USA,Florida,Evening,Boogie boarding,Unprovoked,N
2012,Unknown,USA,Hawaii,Afternoon,Fishing,Provoked,N
2012,Female,USA,Florida,Evening,Swimming,Unprovoked,N
2012,Male,SCOTLAND,Inner Hebrides,Night,Fishing,Provoked,N
2012,Male,AUSTRALIA,Western Australia,Afternoon,Surf,Unprovoked,N
2012,Male,BRAZIL,Pernambuco,Afternoon,Swimming,Unprovoked,Y
2012,Male,USA,Alabama,Night,Swimming,Unprovoked,N
2012,Unknown,AUSTRALIA,Western Australia,Afternoon,Fishing,Sea Disaster,N
2012,Male,USA,Florida,Evening,Diving,Unprovoked,N
2012,Male,REUNION ISLAND,Saint Leu,Evening,Surf,Unprovoked,N
2012,Male,FRENCH POLYNESIA,Tuamotus,Night,Fishing,Unprovoked,N
2012,Male,USA,California,Morning,Surf,Unprovoked,N
2012,Male,AUSTRALIA,South Australia,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Hawaii,Evening,Surf,Unprovoked,N
2012,Male,USA,Massachusetts,Afternoon,Surf,Unprovoked,N
2012,Male,USA,North Carolina,Morning,Unknown,Unknown,U
2012,Male,REUNION ISLAND,Trois-Bassins,Evening,Surf,Unprovoked,Y
2012,Male,TRINIDAD & TOBAGO,Trinidad,Night,Swimming,Unknown,U
2012,Female,CANADA,British Colombia,Night,Surf,Unknown,U
2012,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,Y
2012,Female,USA,North Carolina,Evening,Swimming,Unprovoked,N
2012,Male,BAHAMAS,Eleuthera,Night,Fishing,Unprovoked,N
2012,Female,AUSTRALIA,Victoria,Afternoon,Diving,Unknown,U
2012,Male,USA,California,Morning,Kayaking,Sea Disaster,N
2012,Male,SOUTH AFRICA,Western Cape Province,Evening,Surf,Unprovoked,N
2012,Unknown,CROATIA,Unknown,Night,Swimming,Unknown,U
2012,Male,USA,Florida,Evening,Swimming,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Female,USA,Hawaii,Morning,Sitting in the water,Unprovoked,N
2012,Male,AUSTRALIA,Tasmania,Night,Surf,Unprovoked,N
2012,Male,USA,Florida,Evening,Swimming,Unprovoked,N
2012,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,N
2012,Male,USA,South Carolina,Night,Standing,Unknown,U
2012,Female,USA,North Carolina,Morning,Wading,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Fishing,Provoked,N
2012,Female,USA,South Carolina,Afternoon,Swimming,Unprovoked,N
2012,Male,USA,South Carolina,Afternoon,Swimming,Unprovoked,N
2012,Male,USA,South Carolina,Afternoon,Swimming,Unprovoked,N
2012,Male,USA,South Carolina,Afternoon,Swimming,Unprovoked,N
2012,Male,AUSTRALIA,Victoria,Morning,Surf,Unprovoked,N
2012,Male,ITALY,Sardinia,Morning,Attempting to rescue an injured & beached shark,Provoked,U
2012,Male,AUSTRALIA,New South Wales,Afternoon,Surf,Unprovoked,N
2012,Female,USA,Florida,Night,Surf,Unprovoked,N
2012,Male,USA,South Carolina,Evening,Boogie Boarding,Unprovoked,N
2012,Female,USA,North Carolina,Afternoon,Wading,Unprovoked,N
2012,Male,MEXICO,Guerrero,Morning,Fishing,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Hawaii,Morning,Fishing,Sea Disaster,N
2012,Male,FIJI,Unknown,Night,Fishing,Unprovoked,N
2012,Male,USA,California,Afternoon,Fishing,Sea Disaster,N
2012,Female,USA,Florida,Morning,Swimming,Unprovoked,N
2012,Female,USA,California,Morning,Paddle boarding,Unprovoked,N
2012,Male,USA,Florida,Evening,Surf,Unprovoked,N
2012,Male,SOUTH AFRICA,Western Cape Province,Afternoon,Body boarding,Unprovoked,Y
2012,Male,AUSTRALIA,South Australia,Night,Kayaking,Sea Disaster,N
2012,Male,USA,Hawaii,Afternoon,Surf,Unprovoked,N
2012,Male,USA,Florida,Night,Unknown,Unprovoked,N
2012,Male,AUSTRALIA,Western Australia,Morning,Diving,Unprovoked,Y
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2012,Unknown,AUSTRALIA,Western Australia,Morning,Fishing,Sea Disaster,N
2012,Male,AUSTRALIA,Queensland,Evening,Surf,Unprovoked,N
2012,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
