year,sex,country,state,time,activity,type,deadly_attack
2023,Male,USA,Hawaii,Morning,Surf,Unprovoked,N
2023,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2023,Male,AUSTRALIA,Western Australia,Evening,Wading,Unprovoked,N
2023,Male,USA,Hawaii,Afternoon,Swimming,Unprovoked,N
2023,Male,MEXICO,Quintana Roo,Night,Swimming,Unknown,N
2023,Female,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,N
2023,Female,BRAZIL,Pernambuco,Afternoon,Swimming,Unprovoked,N
2023,Male,BRAZIL,Pernambuco,Night,Swimming,Unprovoked,N
2023,Male,SEYCHELLES,Praslin Island,Afternoon,Snorkeling,Unprovoked,U
2023,Male,BRAZIL,Pernambuco,Evening,Surf,Unprovoked,N
2023,Male,NEW CALEDONIA,South Province,Evening,Swimming,Unprovoked,U
2023,Male,USA,Florida,Evening,Surf,Unprovoked,N
2023,Male,ARGENTINA,Patagonia,Night,Unknown,Unknown,U
2023,Male,FIJI,Taveuni Island,Morning,Fishing,Unknown,N
2023,Female,AUSTRALIA,Western Australia,Afternoon,Swimming,Unprovoked,Y
2023,Male,AUSTRALIA,Queensland,Night,Fishing,Unprovoked,N
2023,Male,NEW CALEDONIA,South Province,Morning,Swimming,Unprovoked,N
2023,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2023,Male,MEXICO,Gulf of California,Morning,Surf,Unprovoked,Y
2023,Male,USA,Florida,Afternoon,Spearishing,Provoked,N
2023,Female,MALDIVES,Vaavu Atoll,Night,Feeding a shark,Provoked,N
2022,Male,SOUTH AFRICA,KNZ,Morning,Diving,Provoked,N
2022,Male,USA,Hawaii,Morning,Swimming,Unprovoked,N
2022,Male,AUSTRALIA,New South ales,Evening,Swimming,Unprovoked,N
2022,Male,USA,Samoa,Afternoon,Diving,Unprovoked,N
2022,Female,USA,Hawaii,Afternoon,Snorkeling,Unprovoked,Y
2022,Male,USA,Texas,Night,Surf,Unprovoked,N
2022,Female,USA,Florida,Afternoon,Swimming,Unprovoked,N
2022,Female,USA,California,Morning,Swimming,Unprovoked,N
2022,Male,USA,Florida,Afternoon,Fishing,Provoked,N
2022,Male,USA,California,Evening,Surf,Unprovoked,N
2022,Male,USA,Louisiana,Morning,Fishing,Sea Disaster,N
